Student ID,Badges
S24Student92,"Exertion, Community"
S24Student149,"Exertion, Commitment badge (4 stars), Community"
S24Student256,"Exertion, Community"
S24Student157,"Exertion, Commitment badge (4 stars), Community"
S24Student227,"Initiative, Determination, Community"
S24Student335,"Exertion, Endurance (one star - left), Determination, Community"
S24Student160,"Exertion, Community"
S24Student205,"Exertion, Community"
S24Student271,"Determination, Community"
S24Student249,Community
S24Student221,"Determination, Community"
S24Student61,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars), Community"
S24Student186,"Exertion, Endurance (one star - left), Commitment badge (4 stars), Community"
S24Student340,"Initiative, Commitment badge (3 stars), Community"
S24Student234,Community
S24Student339,"Exertion, Determination, Commitment badge (3 stars), Community"
S24Student355,"Endurance (one star - left), Determination, Community"
S24Student357,"Exertion, Community"
S24Student312,"Initiative, Community"
S24Student110,"Exertion, Community"
S24Student215,Community
S24Student359,"Initiative, Community"
S24Student80,"Exertion, Community"
S24Student141,"Exertion, Determination, Community"
S24Student293,"Exertion, Community"
S24Student145,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars), Community"
S24Student347,"Exertion, Community"
S24Student225,Community
S24Student204,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars), Community"
S24Student228,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars), Community"
S24Student109,"Exertion, Endurance (one star - left), Determination, Community"
S24Student195,"Exertion, Community"
S24Student161,"Exertion, Determination, Community"
S24Student226,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars), Community"
S24Student192,Community
S24Student203,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars), Community"
S24Student169,"Determination, Community"
S24Student81,"Initiative, Community"
S24Student299,"Initiative, Commitment badge (1 star), Community"
